Experiment name:,NeuLog experiment
'2:56.7,2.7251
'2:56.75,2.7349
'2:56.8,2.7462
'2:56.85,2.7588
'2:56.9,2.7702
'2:56.95,2.7796
'2:57,2.7883
'2:57.05,2.7953
'2:57.1,2.8012
'2:57.15,2.8057
'2:57.2,2.8100
'2:57.25,2.8145
'2:57.3,2.8188
'2:57.35,2.8236
'2:57.4,2.8286
'2:57.45,2.8337
'2:57.5,2.8376
'2:57.55,2.8403
'2:57.6,2.8419
'2:57.65,2.8431
'2:57.7,2.8438
'2:57.75,2.8442
'2:57.8,2.8442
'2:57.85,2.8444
'2:57.9,2.8447
'2:57.95,2.8444
'2:58,2.8444
'2:58.05,2.8440
'2:58.1,2.8431
'2:58.15,2.8419
'2:58.2,2.8410
'2:58.25,2.8403
'2:58.3,2.8396
'2:58.35,2.8385
'2:58.4,2.8369
'2:58.45,2.8348
'2:58.5,2.8334
'2:58.55,2.8328
'2:58.6,2.8328
'2:58.65,2.8330
'2:58.7,2.8316
'2:58.75,2.8289
'2:58.8,2.8261
'2:58.85,2.8239
'2:58.9,2.8216
'2:58.95,2.8193
'2:59,2.8168
'2:59.05,2.8141
'2:59.1,2.8113
'2:59.15,2.8091
'2:59.2,2.8066
'2:59.25,2.8041
'2:59.3,2.8016
'2:59.35,2.7987
'2:59.4,2.7957
'2:59.45,2.7928
'2:59.5,2.7901
'2:59.55,2.7876
'2:59.6,2.7850
'2:59.65,2.7823
'2:59.7,2.7798
'2:59.75,2.7773
'2:59.8,2.7749
'2:59.85,2.7724
'2:59.9,2.7697
'2:59.95,2.7673
'3:00,2.7648
'3:00.05,2.7624
'3:00.1,2.7599
'3:00.15,2.7575
'3:00.2,2.7553
'3:00.25,2.7531
'3:00.3,2.7508
'3:00.35,2.7486
'3:00.4,2.7464
'3:00.45,2.7444
'3:00.5,2.7422
'3:00.55,2.7402
'3:00.6,2.7380
'3:00.65,2.7360
'3:00.7,2.7341
'3:00.75,2.7323
'3:00.8,2.7301
'3:00.85,2.7283
'3:00.9,2.7266
'3:00.95,2.7248
'3:01,2.7229
'3:01.05,2.7211
'3:01.1,2.7191
'3:01.15,2.7174
'3:01.2,2.7154
'3:01.25,2.7137
'3:01.3,2.7117
'3:01.35,2.7100
'3:01.4,2.7082
'3:01.45,2.7065
'3:01.5,2.7045
'3:01.55,2.7026
'3:01.6,2.7006
'3:01.65,2.6989
'3:01.7,2.6969
'3:01.75,2.6952
'3:01.8,2.6933
'3:01.85,2.6915
'3:01.9,2.6898
'3:01.95,2.6878
'3:02,2.6861
'3:02.05,2.6844
'3:02.1,2.6829
'3:02.15,2.6812
'3:02.2,2.6794
'3:02.25,2.6781
'3:02.3,2.6766
'3:02.35,2.6751
'3:02.4,2.6734
'3:02.45,2.6719
'3:02.5,2.6702
'3:02.55,2.6687
'3:02.6,2.6672
'3:02.65,2.6657
'3:02.7,2.6642
'3:02.75,2.6629
'3:02.8,2.6614
'3:02.85,2.6599
'3:02.9,2.6586
'3:02.95,2.6571
'3:03,2.6559
'3:03.05,2.6544
'3:03.1,2.6527
'3:03.15,2.6514
'3:03.2,2.6501
'3:03.25,2.6488
'3:03.3,2.6476
'3:03.35,2.6465
'3:03.4,2.6452
'3:03.45,2.6437
'3:03.5,2.6427
'3:03.55,2.6416
'3:03.6,2.6403
'3:03.65,2.6391
'3:03.7,2.6378
'3:03.75,2.6365
'3:03.8,2.6353
'3:03.85,2.6342
'3:03.9,2.6334
'3:03.95,2.6323
'3:04,2.6310
'3:04.05,2.6298
'3:04.1,2.6285
'3:04.15,2.6272
'3:04.2,2.6260
'3:04.25,2.6247
'3:04.3,2.6237
'3:04.35,2.6226
'3:04.4,2.6213
'3:04.45,2.6201
'3:04.5,2.6188
'3:04.55,2.6178
'3:04.6,2.6167
'3:04.65,2.6157
'3:04.7,2.6144
'3:04.75,2.6134
'3:04.8,2.6119
'3:04.85,2.6108
'3:04.9,2.6098
'3:04.95,2.6088
'3:05,2.6075
'3:05.05,2.6060
'3:05.1,2.6048
'3:05.15,2.6037
'3:05.2,2.6025
'3:05.25,2.6012
'3:05.3,2.6002
'3:05.35,2.5989
'3:05.4,2.5979
'3:05.45,2.5969
'3:05.5,2.5958
'3:05.55,2.5948
'3:05.6,2.5935
'3:05.65,2.5925
'3:05.7,2.5914
'3:05.75,2.5906
'3:05.8,2.5896
'3:05.85,2.5887
'3:05.9,2.5879
'3:05.95,2.5869
'3:06,2.5863
'3:06.05,2.5854
'3:06.1,2.5846
'3:06.15,2.5838
'3:06.2,2.5832
'3:06.25,2.5821
'3:06.3,2.5813
'3:06.35,2.5805
'3:06.4,2.5798
'3:06.45,2.5792
'3:06.5,2.5786
'3:06.55,2.5780
'3:06.6,2.5776
'3:06.65,2.5772
'3:06.7,2.5767
'3:06.75,2.5759
'3:06.8,2.5751
'3:06.85,2.5743
'3:06.9,2.5734
'3:06.95,2.5728
'3:07,2.5720
'3:07.05,2.5716
'3:07.1,2.5710
'3:07.15,2.5703
'3:07.2,2.5699
'3:07.25,2.5695
'3:07.3,2.5689
'3:07.35,2.5681
'3:07.4,2.5675
'3:07.45,2.5666
'3:07.5,2.5658
'3:07.55,2.5650
'3:07.6,2.5644
'3:07.65,2.5634
'3:07.7,2.5619
'3:07.75,2.5603
'3:07.8,2.5595
'3:07.85,2.5586
'3:07.9,2.5574
'3:07.95,2.5560
'3:08,2.5549
'3:08.05,2.5539
'3:08.1,2.5529
'3:08.15,2.5517
'3:08.2,2.5506
'3:08.25,2.5498
'3:08.3,2.5488
'3:08.35,2.5476
'3:08.4,2.5470
'3:08.45,2.5462
'3:08.5,2.5453
'3:08.55,2.5447
'3:08.6,2.5441
'3:08.65,2.5433
'3:08.7,2.5427
'3:08.75,2.5417
'3:08.8,2.5409
'3:08.85,2.5400
'3:08.9,2.5394
'3:08.95,2.5384
'3:09,2.5376
'3:09.05,2.5368
'3:09.1,2.5360
'3:09.15,2.5350
'3:09.2,2.5339
'3:09.25,2.5329
'3:09.3,2.5319
'3:09.35,2.5311
'3:09.4,2.5303
'3:09.45,2.5293
'3:09.5,2.5283
'3:09.55,2.5275
'3:09.6,2.5267
'3:09.65,2.5258
'3:09.7,2.5252
'3:09.75,2.5248
'3:09.8,2.5244
'3:09.85,2.5240
'3:09.9,2.5236
'3:09.95,2.5230
'3:10,2.5224
'3:10.05,2.5220
'3:10.1,2.5214
'3:10.15,2.5210
'3:10.2,2.5206
'3:10.25,2.5200
'3:10.3,2.5198
'3:10.35,2.5194
'3:10.4,2.5190
'3:10.45,2.5186
'3:10.5,2.5182
'3:10.55,2.5180
'3:10.6,2.5186
'3:10.65,2.5194
'3:10.7,2.5204
'3:10.75,2.5212
'3:10.8,2.5222
'3:10.85,2.5234
'3:10.9,2.5246
'3:10.95,2.5252
'3:11,2.5254
'3:11.05,2.5256
'3:11.1,2.5258
'3:11.15,2.5265
'3:11.2,2.5269
'3:11.25,2.5267
'3:11.3,2.5271
'3:11.35,2.5273
'3:11.4,2.5275
'3:11.45,2.5273
'3:11.5,2.5269
'3:11.55,2.5271
'3:11.6,2.5277
'3:11.65,2.5283
'3:11.7,2.5291
'3:11.75,2.5303
'3:11.8,2.5317
'3:11.85,2.5331
'3:11.9,2.5329
'3:11.95,2.5325
'3:12,2.5331
'3:12.05,2.5333
'3:12.1,2.5325
'3:12.15,2.5307
'3:12.2,2.5281
'3:12.25,2.5248
'3:12.3,2.5212
'3:12.35,2.5176
'3:12.4,2.5131
'3:12.45,2.5083
'3:12.5,2.5035
'3:12.55,2.4987
'3:12.6,2.4945
'3:12.65,2.4921
'3:12.7,2.4907
'3:12.75,2.4899
'3:12.8,2.4889
'3:12.85,2.4881
'3:12.9,2.4869
'3:12.95,2.4867
'3:13,2.4885
'3:13.05,2.4925
'3:13.1,2.4973
'3:13.15,2.5005
'3:13.2,2.4995
'3:13.25,2.4985
'3:13.3,2.5027
'3:13.35,2.5113
'3:13.4,2.5210
'3:13.45,2.5303
'3:13.5,2.5396
'3:13.55,2.5488
'3:13.6,2.5576
'3:13.65,2.5666
'3:13.7,2.5776
'3:13.75,2.5931
'3:13.8,2.6088
'3:13.85,2.6205
'3:13.9,2.6310
'3:13.95,2.6416
'3:14,2.6525
'3:14.05,2.6633
'3:14.1,2.6736
'3:14.15,2.6831
'3:14.2,2.6920
'3:14.25,2.7017
'3:14.3,2.7119
'3:14.35,2.7216
'3:14.4,2.7303
'3:14.45,2.7380
'3:14.5,2.7453
'3:14.55,2.7519
'3:14.6,2.7579
'3:14.65,2.7635
'3:14.7,2.7686
'3:14.75,2.7738
'3:14.8,2.7789
'3:14.85,2.7832
'3:14.9,2.7865
'3:14.95,2.7892
'3:15,2.7915
'3:15.05,2.7939
'3:15.1,2.7964
'3:15.15,2.7989
'3:15.2,2.8014
'3:15.25,2.8030
'3:15.3,2.8036
'3:15.35,2.8046
'3:15.4,2.8066
'3:15.45,2.8125
'3:15.5,2.8211
'3:15.55,2.8273
'3:15.6,2.8300
'3:15.65,2.8318
'3:15.7,2.8330
'3:15.75,2.8332
'3:15.8,2.8330
'3:15.85,2.8328
'3:15.9,2.8328
'3:15.95,2.8328
'3:16,2.8325
'3:16.05,2.8318
'3:16.1,2.8307
'3:16.15,2.8298
'3:16.2,2.8284
'3:16.25,2.8273
'3:16.3,2.8261
'3:16.35,2.8248
'3:16.4,2.8236
'3:16.45,2.8229
'3:16.5,2.8220
'3:16.55,2.8204
'3:16.6,2.8186
'3:16.65,2.8168
'3:16.7,2.8145
'3:16.75,2.8120
'3:16.8,2.8091
'3:16.85,2.8061
'3:16.9,2.8021
'3:16.95,2.7987
'3:17,2.7962
'3:17.05,2.7937
'3:17.1,2.7915
'3:17.15,2.7890
'3:17.2,2.7858
'3:17.25,2.7816
'3:17.3,2.7762
'3:17.35,2.7717
'3:17.4,2.7693
'3:17.45,2.7684
'3:17.5,2.7675
'3:17.55,2.7664
'3:17.6,2.7646
'3:17.65,2.7633
'3:17.7,2.7626
'3:17.75,2.7622
'3:17.8,2.7622
'3:17.85,2.7624
'3:17.9,2.7637
'3:17.95,2.7648
'3:18,2.7646
'3:18.05,2.7639
'3:18.1,2.7630
'3:18.15,2.7619
'3:18.2,2.7606
'3:18.25,2.7588
'3:18.3,2.7570
'3:18.35,2.7559
'3:18.4,2.7550
'3:18.45,2.7542
'3:18.5,2.7533
'3:18.55,2.7526
'3:18.6,2.7515
'3:18.65,2.7504
'3:18.7,2.7497
'3:18.75,2.7497
'3:18.8,2.7504
'3:18.85,2.7515
'3:18.9,2.7535
'3:18.95,2.7557
'3:19,2.7584
'3:19.05,2.7617
'3:19.1,2.7657
'3:19.15,2.7706
'3:19.2,2.7758
'3:19.25,2.7811
'3:19.3,2.7872
'3:19.35,2.7935
'3:19.4,2.8000
'3:19.45,2.8064
'3:19.5,2.8129
'3:19.55,2.8195
'3:19.6,2.8266
'3:19.65,2.8341
'3:19.7,2.8417
'3:19.75,2.8488
'3:19.8,2.8557
'3:19.85,2.8624
'3:19.9,2.8696
'3:19.95,2.8766
'3:20,2.8831
'3:20.05,2.8892
'3:20.1,2.8948
'3:20.15,2.9002
'3:20.2,2.9058
'3:20.25,2.9115
'3:20.3,2.9159
'3:20.35,2.9197
'3:20.4,2.9228
'3:20.45,2.9254
'3:20.5,2.9278
'3:20.55,2.9299
'3:20.6,2.9318
'3:20.65,2.9342
'3:20.7,2.9359
'3:20.75,2.9366
'3:20.8,2.9368
'3:20.85,2.9373
'3:20.9,2.9378
'3:20.95,2.9382
'3:21,2.9389
'3:21.05,2.9397
'3:21.1,2.9397
'3:21.15,2.9392
'3:21.2,2.9387
'3:21.25,2.9387
'3:21.3,2.9389
'3:21.35,2.9385
'3:21.4,2.9368
'3:21.45,2.9349
'3:21.5,2.9318
'3:21.55,2.9287
'3:21.6,2.9261
'3:21.65,2.9233
'3:21.7,2.9209
'3:21.75,2.9185
'3:21.8,2.9159
'3:21.85,2.9136
'3:21.9,2.9117
'3:21.95,2.9098
'3:22,2.9079
'3:22.05,2.9060
'3:22.1,2.9037
'3:22.15,2.9009
'3:22.2,2.8988
'3:22.25,2.8969
'3:22.3,2.8938
'3:22.35,2.8901
'3:22.4,2.8861
'3:22.45,2.8826
'3:22.5,2.8789
'3:22.55,2.8749
'3:22.6,2.8712
'3:22.65,2.8673
'3:22.7,2.8634
'3:22.75,2.8592
'3:22.8,2.8550
'3:22.85,2.8516
'3:22.9,2.8486
'3:22.95,2.8463
'3:23,2.8444
'3:23.05,2.8440
'3:23.1,2.8447
'3:23.15,2.8467
'3:23.2,2.8488
'3:23.25,2.8504
'3:23.3,2.8530
'3:23.35,2.8571
'3:23.4,2.8620
'3:23.45,2.8668
'3:23.5,2.8712
'3:23.55,2.8759
'3:23.6,2.8805
'3:23.65,2.8854
'3:23.7,2.8908
'3:23.75,2.8967
'3:23.8,2.9018
'3:23.85,2.9065
'3:23.9,2.9103
'3:23.95,2.9131
'3:24,2.9145
'3:24.05,2.9148
'3:24.1,2.9145
'3:24.15,2.9141
'3:24.2,2.9133
'3:24.25,2.9124
'3:24.3,2.9112
'3:24.35,2.9098
'3:24.4,2.9089
'3:24.45,2.9082
'3:24.5,2.9079
'3:24.55,2.9079
'3:24.6,2.9079
'3:24.65,2.9084
'3:24.7,2.9098
'3:24.75,2.9124
'3:24.8,2.9157
'3:24.85,2.9193
'3:24.9,2.9230
'3:24.95,2.9273
'3:25,2.9318
'3:25.05,2.9356
'3:25.1,2.9392
'3:25.15,2.9428
'3:25.2,2.9463
'3:25.25,2.9502
'3:25.3,2.9552
'3:25.35,2.9607
'3:25.4,2.9667
'3:25.45,2.9725
'3:25.5,2.9781
'3:25.55,2.9831
'3:25.6,2.9882
'3:25.65,2.9924
'3:25.7,2.9955
'3:25.75,2.9977
'3:25.8,2.9997
'3:25.85,3.0023
'3:25.9,3.0053
'3:25.95,3.0080
'3:26,3.0102
'3:26.05,3.0121
'3:26.1,3.0141
'3:26.15,3.0146
'3:26.2,3.0104
'3:26.25,3.0009
'3:26.3,2.9941
'3:26.35,3.0006
'3:26.4,3.0082
'3:26.45,3.0075
'3:26.5,3.0063
'3:26.55,3.0048
'3:26.6,3.0036
'3:26.65,3.0026
'3:26.7,3.0014
'3:26.75,2.9997
'3:26.8,2.9972
'3:26.85,2.9921
'3:26.9,2.9841
'3:26.95,2.9752
'3:27,2.9670
'3:27.05,2.9590
'3:27.1,2.9518
'3:27.15,2.9454
'3:27.2,2.9399
'3:27.25,2.9349
'3:27.3,2.9306
'3:27.35,2.9271
'3:27.4,2.9235
'3:27.45,2.9200
'3:27.5,2.9167
'3:27.55,2.9138
'3:27.6,2.9115
'3:27.65,2.9096
'3:27.7,2.9079
'3:27.75,2.9070
'3:27.8,2.9068
'3:27.85,2.9065
'3:27.9,2.9058
'3:27.95,2.9044
'3:28,2.9032
'3:28.05,2.9023
'3:28.1,2.9011
'3:28.15,2.9002
'3:28.2,2.8992
'3:28.25,2.8981
'3:28.3,2.8971
'3:28.35,2.8960
'3:28.4,2.8950
'3:28.45,2.8941
'3:28.5,2.8934
'3:28.55,2.8927
'3:28.6,2.8922
'3:28.65,2.8917
'3:28.7,2.8913
'3:28.75,2.8910
'3:28.8,2.8915
'3:28.85,2.8922
'3:28.9,2.8924
'3:28.95,2.8920
'3:29,2.8913
'3:29.05,2.8913
'3:29.1,2.8917
'3:29.15,2.8920
'3:29.2,2.8917
'3:29.25,2.8892
'3:29.3,2.8859
'3:29.35,2.8824
'3:29.4,2.8789
'3:29.45,2.8754
'3:29.5,2.8724
'3:29.55,2.8701
'3:29.6,2.8680
'3:29.65,2.8659
'3:29.7,2.8643
'3:29.75,2.8629
'3:29.8,2.8613
'3:29.85,2.8601
'3:29.9,2.8590
'3:29.95,2.8573
'3:30,2.8557
'3:30.05,2.8543
'3:30.1,2.8530
'3:30.15,2.8513
'3:30.2,2.8502
'3:30.25,2.8490
'3:30.3,2.8479
'3:30.35,2.8470
'3:30.4,2.8463
'3:30.45,2.8463
'3:30.5,2.8463
'3:30.55,2.8456
'3:30.6,2.8449
'3:30.65,2.8440
'3:30.7,2.8428
'3:30.75,2.8417
'3:30.8,2.8408
'3:30.85,2.8403
'3:30.9,2.8403
'3:30.95,2.8405
'3:31,2.8412
'3:31.05,2.8419
'3:31.1,2.8431
'3:31.15,2.8444
'3:31.2,2.8458
'3:31.25,2.8463
'3:31.3,2.8470
'3:31.35,2.8493
'3:31.4,2.8532
'3:31.45,2.8569
'3:31.5,2.8594
'3:31.55,2.8617
'3:31.6,2.8652
'3:31.65,2.8705
'3:31.7,2.8763
'3:31.75,2.8824
'3:31.8,2.8892
'3:31.85,2.8967
'3:31.9,2.9037
'3:31.95,2.9091
'3:32,2.9131
'3:32.05,2.9167
'3:32.1,2.9202
'3:32.15,2.9235
'3:32.2,2.9256
'3:32.25,2.9275
'3:32.3,2.9294
'3:32.35,2.9309
'3:32.4,2.9318
'3:32.45,2.9323
'3:32.5,2.9328
'3:32.55,2.9330
'3:32.6,2.9325
'3:32.65,2.9316
'3:32.7,2.9309
'3:32.75,2.9299
'3:32.8,2.9287
'3:32.85,2.9271
'3:32.9,2.9254
'3:32.95,2.9237
'3:33,2.9216
'3:33.05,2.9200
'3:33.1,2.9185
'3:33.15,2.9171
'3:33.2,2.9155
'3:33.25,2.9138
'3:33.3,2.9119
'3:33.35,2.9103
'3:33.4,2.9086
'3:33.45,2.9060
'3:33.5,2.9035
'3:33.55,2.9004
'3:33.6,2.8974
'3:33.65,2.8941
'3:33.7,2.8906
'3:33.75,2.8868
'3:33.8,2.8836
'3:33.85,2.8810
'3:33.9,2.8789
'3:33.95,2.8763
'3:34,2.8731
'3:34.05,2.8703
'3:34.1,2.8675
'3:34.15,2.8647
'3:34.2,2.8613
'3:34.25,2.8573
'3:34.3,2.8543
'3:34.35,2.8525
'3:34.4,2.8507
'3:34.45,2.8488
'3:34.5,2.8474
'3:34.55,2.8456
'3:34.6,2.8440
'3:34.65,2.8421
'3:34.7,2.8408
'3:34.75,2.8396
'3:34.8,2.8389
'3:34.85,2.8385
'3:34.9,2.8378
'3:34.95,2.8369
'3:35,2.8360
'3:35.05,2.8350
'3:35.1,2.8341
'3:35.15,2.8330
'3:35.2,2.8314
'3:35.25,2.8302
'3:35.3,2.8298
'3:35.35,2.8291
'3:35.4,2.8282
'3:35.45,2.8266
'3:35.5,2.8250
'3:35.55,2.8236
'3:35.6,2.8227
'3:35.65,2.8229
'3:35.7,2.8243
'3:35.75,2.8257
'3:35.8,2.8259
'3:35.85,2.8259
'3:35.9,2.8259
'3:35.95,2.8254
'3:36,2.8245
'3:36.05,2.8234
'3:36.1,2.8227
'3:36.15,2.8220
'3:36.2,2.8213
'3:36.25,2.8204
'3:36.3,2.8198
'3:36.35,2.8188
'3:36.4,2.8179
'3:36.45,2.8166
'3:36.5,2.8157
'3:36.55,2.8152
'3:36.6,2.8154
'3:36.65,2.8157
'3:36.7,2.8154
'3:36.75,2.8150
'3:36.8,2.8152
'3:36.85,2.8168
'3:36.9,2.8191
'3:36.95,2.8209
'3:37,2.8229
'3:37.05,2.8250
'3:37.1,2.8273
'3:37.15,2.8298
'3:37.2,2.8323
'3:37.25,2.8350
'3:37.3,2.8376
'3:37.35,2.8396
'3:37.4,2.8412
'3:37.45,2.8428
'3:37.5,2.8449
'3:37.55,2.8470
'3:37.6,2.8490
'3:37.65,2.8509
'3:37.7,2.8523
'3:37.75,2.8537
'3:37.8,2.8543
'3:37.85,2.8548
'3:37.9,2.8555
'3:37.95,2.8555
'3:38,2.8557
'3:38.05,2.8560
'3:38.1,2.8562
'3:38.15,2.8566
'3:38.2,2.8571
'3:38.25,2.8580
'3:38.3,2.8594
'3:38.35,2.8599
'3:38.4,2.8608
'3:38.45,2.8631
'3:38.5,2.8650
'3:38.55,2.8645
'3:38.6,2.8615
'3:38.65,2.8569
'3:38.7,2.8527
'3:38.75,2.8497
'3:38.8,2.8481
'3:38.85,2.8470
'3:38.9,2.8458
'3:38.95,2.8444
'3:39,2.8428
'3:39.05,2.8415
'3:39.1,2.8401
'3:39.15,2.8389
'3:39.2,2.8380
'3:39.25,2.8371
'3:39.3,2.8357
'3:39.35,2.8341
'3:39.4,2.8325
'3:39.45,2.8309
'3:39.5,2.8296
'3:39.55,2.8286
'3:39.6,2.8270
'3:39.65,2.8245
'3:39.7,2.8220
'3:39.75,2.8211
'3:39.8,2.8200
'3:39.85,2.8184
'3:39.9,2.8168
'3:39.95,2.8154
'3:40,2.8134
'3:40.05,2.8116
'3:40.1,2.8095
'3:40.15,2.8086
'3:40.2,2.8095
'3:40.25,2.8145
'3:40.3,2.8204
'3:40.35,2.8229
'3:40.4,2.8227
'3:40.45,2.8232
'3:40.5,2.8266
'3:40.55,2.8307
'3:40.6,2.8341
'3:40.65,2.8330
'3:40.7,2.8245
'3:40.75,2.8154
'3:40.8,2.8079
'3:40.85,2.7973
'3:40.9,2.7879
'3:40.95,2.7832
'3:41,2.7802
'3:41.05,2.7785
'3:41.1,2.7773
'3:41.15,2.7764
'3:41.2,2.7753
'3:41.25,2.7742
'3:41.3,2.7740
'3:41.35,2.7744
'3:41.4,2.7740
'3:41.45,2.7731
'3:41.5,2.7720
'3:41.55,2.7700
'3:41.6,2.7677
'3:41.65,2.7659
'3:41.7,2.7642
'3:41.75,2.7626
'3:41.8,2.7613
'3:41.85,2.7597
'3:41.9,2.7582
'3:41.95,2.7564
'3:42,2.7548
'3:42.05,2.7533
'3:42.1,2.7526

sys info:[91~54~52~93~44~91~34~49~54~126~49~126~49~126~50~126~35~55~48~52~55~49~101~126~76~101~102~116~126~49~48~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~55~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~49~50~48~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~49~53~45~49~48~45~49~54~32~49~52~58~50~52~58~53~48~46~50~48~48~56~50~51~34~93]

Attention! Any change in the file may prevent NeuLog from reading its data.
